trans_num,trans_date,category,amt,offer_id,expiration_date,response
76,2013-03-06,misc_net,1008.76,NUL,NUL,NUL
77,2013-03-08,health_fitness,2.41,NUL,NUL,NUL
78,2013-03-08,health_fitness,5.86,NUL,NUL,NUL
79,2013-03-09,health_fitness,35.06,NUL,NUL,NUL
80,2013-03-09,misc_net,27.81,NUL,NUL,NUL
81,2013-03-09,utilities,31.71,NUL,NUL,NUL
82,2013-03-09,personal_care,39.8,NUL,NUL,NUL
83,2013-03-09,pharmacy,58.66,NUL,NUL,NUL
84,2013-03-10,misc_net,778.8,NUL,NUL,NUL
85,2013-03-11,kids_pets,3.13,NUL,NUL,NUL
86,2013-03-12,shopping_net,545.7,NUL,NUL,NUL
87,2013-03-12,kids_pets,11.76,NUL,NUL,NUL
88,2013-03-12,gas_transport,59.71,NUL,NUL,NUL
89,2013-03-15,grocery_pos,26.54,NUL,NUL,NUL
90,2013-03-15,kids_pets,46.37,NUL,NUL,NUL
91,2013-03-15,shopping_net,51.75,NUL,NUL,NUL
92,2013-03-15,misc_net,36.98,NUL,NUL,NUL
93,2013-03-16,home,60.25,NUL,NUL,NUL
94,2013-03-16,misc_net,3.74,NUL,NUL,NUL
95,2013-03-16,health_fitness,12.39,NUL,NUL,NUL
96,2013-03-16,gas_transport,37.97,NUL,NUL,NUL
97,2013-03-17,shopping_net,113.19,NUL,NUL,NUL
98,2013-03-17,food_dining,0.7,NUL,NUL,NUL
99,2013-03-17,personal_care,16.07,NUL,NUL,NUL
100,2013-03-17,gas_transport,68.44,NUL,NUL,NUL
101,2013-03-18,health_fitness,33.57,NUL,NUL,NUL
102,2013-03-18,personal_care,6.1,NUL,NUL,NUL
103,2013-03-19,grocery_pos,33.99,NUL,NUL,NUL
104,2013-03-20,travel,318.55,NUL,NUL,NUL
105,2013-03-22,personal_care,18.3,NUL,NUL,NUL
106,2013-03-22,misc_pos,63.0,NUL,NUL,NUL
107,2013-03-22,grocery_pos,40.64,NUL,NUL,NUL
108,2013-03-23,pharmacy,25.53,NUL,NUL,NUL
109,2013-03-23,gas_transport,47.62,NUL,NUL,NUL
110,2013-03-23,misc_pos,109.28,NUL,NUL,NUL
111,2013-03-23,shopping_net,0.25,NUL,NUL,NUL
112,2013-03-26,home,74.67,NUL,NUL,NUL
113,2013-03-27,shopping_net,5.18,NUL,NUL,NUL
114,2013-03-27,kids_pets,17.33,NUL,NUL,NUL
115,2013-03-29,health_fitness,14.38,NUL,NUL,NUL
116,2013-03-29,gas_transport,93.91,NUL,NUL,NUL
117,2013-03-29,grocery_pos,51.19,NUL,NUL,NUL
118,2013-03-30,misc_net,120.12,NUL,NUL,NUL
119,2013-03-30,food_dining,0.73,NUL,NUL,NUL
120,2013-03-30,food_dining,155.99,NUL,NUL,NUL
121,2013-03-30,grocery_net,41.39,NUL,NUL,NUL
122,2013-03-30,shopping_net,204.35,NUL,NUL,NUL
123,2013-04-01,health_fitness,1.99,NUL,NUL,NUL
124,2013-04-02,health_fitness,0.29,NUL,NUL,NUL
125,2013-04-03,gas_transport,51.96,NUL,NUL,NUL
126,2013-04-04,shopping_net,5.24,NUL,NUL,NUL
127,2013-04-05,utilities,39.83,NUL,NUL,NUL
128,2013-04-05,health_fitness,2.67,NUL,NUL,NUL
129,2013-04-05,misc_net,256.79,NUL,NUL,NUL
130,2013-04-06,kids_pets,5.87,NUL,NUL,NUL
131,2013-04-06,food_dining,153.59,NUL,NUL,NUL
132,2013-04-06,misc_pos,1.98,NUL,NUL,NUL
133,2013-04-06,food_dining,53.92,NUL,NUL,NUL
134,2013-04-07,gas_transport,62.55,NUL,NUL,NUL
135,2013-04-07,home,28.77,NUL,NUL,NUL
136,2013-04-11,pharmacy,2.32,NUL,NUL,NUL
137,2013-04-11,health_fitness,4.59,NUL,NUL,NUL
138,2013-04-12,utilities,31.42,NUL,NUL,NUL
139,2013-04-12,misc_net,3.01,NUL,NUL,NUL
140,2013-04-12,grocery_pos,74.3,NUL,NUL,NUL
141,2013-04-12,gas_transport,77.06,NUL,NUL,NUL
142,2013-04-12,food_dining,8.64,NUL,NUL,NUL
143,2013-04-13,shopping_net,580.83,NUL,NUL,NUL
144,2013-04-13,entertainment,2.59,NUL,NUL,NUL
145,2013-04-13,utilities,27.69,NUL,NUL,NUL
146,2013-04-14,entertainment,28.77,NUL,NUL,NUL
147,2013-04-14,shopping_net,543.81,NUL,NUL,NUL
148,2013-04-16,gas_transport,73.94,NUL,NUL,NUL
149,2013-04-16,gas_transport,59.26,NUL,NUL,NUL
150,2013-04-19,gas_transport,63.99,NUL,NUL,NUL
151,2013-04-19,entertainment,180.2,NUL,NUL,NUL
152,2013-04-19,grocery_pos,12.88,NUL,NUL,NUL
153,2013-04-19,grocery_pos,56.28,NUL,NUL,NUL
154,2013-04-19,personal_care,0.3,NUL,NUL,NUL
155,2013-04-19,kids_pets,64.51,NUL,NUL,NUL
156,2013-04-20,health_fitness,46.04,NUL,NUL,NUL
157,2013-04-20,pharmacy,5.5,NUL,NUL,NUL
158,2013-04-20,kids_pets,14.54,NUL,NUL,NUL
159,2013-04-22,shopping_net,0.32,NUL,NUL,NUL
160,2013-04-24,pharmacy,2.41,NUL,NUL,NUL
161,2013-04-24,kids_pets,67.46,NUL,NUL,NUL
162,2013-04-25,misc_net,3.26,NUL,NUL,NUL
163,2013-04-25,pharmacy,7.82,NUL,NUL,NUL
164,2013-04-25,misc_net,3.78,NUL,NUL,NUL
165,2013-04-25,health_fitness,14.99,NUL,NUL,NUL
166,2013-04-25,pharmacy,4.11,NUL,NUL,NUL
167,2013-04-25,entertainment,23.22,NUL,NUL,NUL
168,2013-04-26,shopping_net,2.03,NUL,NUL,NUL
169,2013-04-26,gas_transport,85.8,NUL,NUL,NUL
170,2013-04-26,gas_transport,59.84,NUL,NUL,NUL
171,2013-04-27,grocery_net,43.98,NUL,NUL,NUL
172,2013-04-27,grocery_pos,17.02,NUL,NUL,NUL
173,2013-04-27,home,30.74,NUL,NUL,NUL
174,2013-04-27,food_dining,149.62,NUL,NUL,NUL
175,2013-04-27,kids_pets,1.69,NUL,NUL,NUL
176,2013-04-27,grocery_net,15.23,NUL,NUL,NUL
177,2013-04-28,gas_transport,70.34,NUL,NUL,NUL
178,2013-04-28,food_dining,45.78,NUL,NUL,NUL
179,2013-04-28,health_fitness,102.44,NUL,NUL,NUL
180,2013-05-01,utilities,33.01,NUL,NUL,NUL
181,2013-05-02,utilities,43.94,NUL,NUL,NUL
182,2013-05-04,kids_pets,59.07,NUL,NUL,NUL
183,2013-05-04,personal_care,36.51,NUL,NUL,NUL
184,2013-05-04,health_fitness,5.61,NUL,NUL,NUL
185,2013-05-05,grocery_pos,58.35,NUL,NUL,NUL
186,2013-05-05,kids_pets,194.14,NUL,NUL,NUL
187,2013-05-05,shopping_pos,74.63,2.0,2013-05-12,1.0
188,2013-05-05,gas_transport,69.13,NUL,NUL,NUL
189,2013-05-05,entertainment,6.1,NUL,NUL,NUL
190,2013-05-06,entertainment,18.54,NUL,NUL,NUL
191,2013-05-06,shopping_net,321.15,NUL,NUL,NUL
192,2013-05-11,health_fitness,18.93,NUL,NUL,NUL
193,2013-05-11,food_dining,5.43,NUL,NUL,NUL
194,2013-05-12,misc_net,21.2,NUL,NUL,NUL
195,2013-05-12,misc_pos,29.65,NUL,NUL,NUL
196,2013-05-12,travel,17.68,NUL,NUL,NUL
197,2013-05-12,health_fitness,0.34,NUL,NUL,NUL
198,2013-05-13,entertainment,7.39,NUL,NUL,NUL
199,2013-05-14,misc_pos,1.06,NUL,NUL,NUL
200,2013-05-14,gas_transport,67.49,NUL,NUL,NUL
201,2013-05-15,gas_transport,54.13,NUL,NUL,NUL
202,2013-05-17,health_fitness,4.23,NUL,NUL,NUL
203,2013-05-17,shopping_net,59.12,NUL,NUL,NUL
204,2013-05-17,home,16.5,NUL,NUL,NUL
205,2013-05-18,home,1.46,NUL,NUL,NUL
206,2013-05-18,entertainment,8.69,NUL,NUL,NUL
207,2013-05-18,gas_transport,82.83,NUL,NUL,NUL
208,2013-05-18,utilities,45.75,NUL,NUL,NUL
209,2013-05-18,misc_net,6.65,NUL,NUL,NUL
210,2013-05-18,entertainment,3.86,NUL,NUL,NUL
211,2013-05-19,personal_care,1.73,NUL,NUL,NUL
212,2013-05-19,gas_transport,31.66,NUL,NUL,NUL
213,2013-05-21,pharmacy,2.45,NUL,NUL,NUL
214,2013-05-21,pharmacy,13.05,NUL,NUL,NUL
215,2013-05-22,pharmacy,3.2,NUL,NUL,NUL
216,2013-05-22,personal_care,1.18,NUL,NUL,NUL
217,2013-05-22,personal_care,21.41,NUL,NUL,NUL
218,2013-05-22,travel,1.65,NUL,NUL,NUL
219,2013-05-23,pharmacy,12.76,NUL,NUL,NUL
220,2013-05-23,misc_net,43.03,NUL,NUL,NUL
221,2013-05-25,pharmacy,14.1,NUL,NUL,NUL
222,2013-05-25,gas_transport,55.28,NUL,NUL,NUL
223,2013-05-25,kids_pets,42.72,NUL,NUL,NUL
224,2013-05-25,shopping_net,160.53,NUL,NUL,NUL
225,2013-05-25,health_fitness,0.92,NUL,NUL,NUL
226,2013-05-25,home,30.83,NUL,NUL,NUL
227,2013-05-26,gas_transport,57.57,NUL,NUL,NUL
228,2013-05-26,personal_care,1.28,NUL,NUL,NUL
229,2013-05-27,entertainment,127.09,NUL,NUL,NUL
230,2013-05-27,misc_net,0.65,NUL,NUL,NUL
231,2013-05-27,misc_net,0.26,NUL,NUL,NUL
232,2013-05-28,utilities,75.08,NUL,NUL,NUL
233,2013-05-28,gas_transport,72.28,NUL,NUL,NUL
234,2013-05-29,home,74.45,NUL,NUL,NUL
235,2013-05-29,gas_transport,59.68,NUL,NUL,NUL
236,2013-05-29,health_fitness,0.7,NUL,NUL,NUL
237,2013-05-30,pharmacy,62.1,NUL,NUL,NUL
238,2013-05-30,shopping_net,35.43,NUL,NUL,NUL
239,2013-05-31,entertainment,16.03,NUL,NUL,NUL
240,2013-05-31,personal_care,8.29,NUL,NUL,NUL
241,2013-06-01,kids_pets,123.12,NUL,NUL,NUL
242,2013-06-01,entertainment,47.06,NUL,NUL,NUL
243,2013-06-01,health_fitness,138.67,NUL,NUL,NUL
244,2013-06-02,food_dining,0.45,NUL,NUL,NUL
245,2013-06-02,kids_pets,17.79,NUL,NUL,NUL
246,2013-06-02,travel,1916.01,NUL,NUL,NUL
247,2013-06-02,gas_transport,85.2,NUL,NUL,NUL
248,2013-06-03,shopping_pos,4.22,NUL,NUL,NUL
249,2013-06-03,entertainment,11.08,NUL,NUL,NUL
250,2013-06-03,shopping_pos,123.5,1.0,2013-06-10,0.0
251,2013-06-04,gas_transport,76.7,NUL,NUL,NUL
252,2013-06-04,health_fitness,13.76,NUL,NUL,NUL
253,2013-06-04,health_fitness,10.11,NUL,NUL,NUL
254,2013-06-04,grocery_pos,12.02,NUL,NUL,NUL
255,2013-06-05,grocery_pos,57.55,NUL,NUL,NUL
256,2013-06-05,shopping_pos,1.75,NUL,NUL,NUL
257,2013-06-06,misc_pos,8.14,NUL,NUL,NUL
258,2013-06-07,shopping_net,0.49,NUL,NUL,NUL
259,2013-06-08,food_dining,0.27,NUL,NUL,NUL
260,2013-06-08,shopping_net,50.09,NUL,NUL,NUL
261,2013-06-08,personal_care,210.69,NUL,NUL,NUL
262,2013-06-08,shopping_pos,130.88,NUL,NUL,NUL
263,2013-06-08,pharmacy,9.44,NUL,NUL,NUL
264,2013-06-09,kids_pets,30.34,NUL,NUL,NUL
265,2013-06-09,health_fitness,11.93,NUL,NUL,NUL
266,2013-06-09,entertainment,6.69,NUL,NUL,NUL
267,2013-06-10,kids_pets,95.72,NUL,NUL,NUL
268,2013-06-11,health_fitness,0.65,NUL,NUL,NUL
269,2013-06-11,health_fitness,8.74,NUL,NUL,NUL
270,2013-06-11,health_fitness,7.48,NUL,NUL,NUL
271,2013-06-12,health_fitness,0.79,NUL,NUL,NUL
272,2013-06-12,kids_pets,18.02,NUL,NUL,NUL
273,2013-06-13,health_fitness,36.24,NUL,NUL,NUL
274,2013-06-13,kids_pets,40.75,NUL,NUL,NUL
275,2013-06-14,shopping_pos,702.13,NUL,NUL,NUL
276,2013-06-14,pharmacy,3.12,NUL,NUL,NUL
277,2013-06-14,misc_pos,26.07,NUL,NUL,NUL
278,2013-06-14,kids_pets,5.96,NUL,NUL,NUL
279,2013-06-14,misc_pos,370.32,NUL,NUL,NUL
280,2013-06-15,travel,16.34,NUL,NUL,NUL
281,2013-06-15,pharmacy,17.24,NUL,NUL,NUL
282,2013-06-15,kids_pets,54.36,NUL,NUL,NUL
283,2013-06-15,misc_net,0.67,NUL,NUL,NUL
284,2013-06-15,health_fitness,54.77,NUL,NUL,NUL
285,2013-06-15,personal_care,0.72,NUL,NUL,NUL
286,2013-06-15,shopping_net,0.34,NUL,NUL,NUL
287,2013-06-16,personal_care,112.18,NUL,NUL,NUL
288,2013-06-16,kids_pets,93.61,NUL,NUL,NUL
289,2013-06-18,food_dining,0.3,NUL,NUL,NUL
290,2013-06-20,shopping_pos,1004.12,NUL,NUL,NUL
291,2013-06-20,personal_care,2.79,NUL,NUL,NUL
292,2013-06-20,food_dining,4.43,NUL,NUL,NUL
293,2013-06-21,gas_transport,61.12,NUL,NUL,NUL
294,2013-06-22,utilities,49.73,NUL,NUL,NUL
295,2013-06-22,gas_transport,44.62,NUL,NUL,NUL
296,2013-06-22,misc_pos,3.95,NUL,NUL,NUL
297,2013-06-23,misc_pos,0.25,NUL,NUL,NUL
298,2013-06-23,kids_pets,40.7,NUL,NUL,NUL
299,2013-06-23,shopping_net,77.03,NUL,NUL,NUL
300,2013-06-24,gas_transport,46.32,NUL,NUL,NUL
301,2013-06-24,shopping_pos,365.27,2.0,2013-07-01,1.0
302,2013-06-26,kids_pets,39.64,NUL,NUL,NUL
303,2013-06-27,personal_care,77.12,NUL,NUL,NUL
304,2013-06-27,personal_care,17.16,NUL,NUL,NUL
305,2013-06-27,health_fitness,42.52,NUL,NUL,NUL
306,2013-06-28,home,54.94,NUL,NUL,NUL
307,2013-06-28,shopping_net,538.11,NUL,NUL,NUL
308,2013-06-28,shopping_net,113.95,NUL,NUL,NUL
309,2013-06-29,shopping_pos,18.95,NUL,NUL,NUL
310,2013-06-29,shopping_net,1119.65,NUL,NUL,NUL
311,2013-06-29,misc_net,4.2,NUL,NUL,NUL
312,2013-06-30,entertainment,13.66,NUL,NUL,NUL
313,2013-06-30,utilities,50.5,NUL,NUL,NUL
314,2013-06-30,shopping_pos,1170.64,NUL,NUL,NUL
315,2013-07-01,gas_transport,66.23,NUL,NUL,NUL
316,2013-07-03,misc_pos,71.05,NUL,NUL,NUL
317,2013-07-03,gas_transport,52.04,NUL,NUL,NUL
318,2013-07-04,utilities,52.72,NUL,NUL,NUL
319,2013-07-05,kids_pets,143.33,NUL,NUL,NUL
320,2013-07-05,kids_pets,83.98,NUL,NUL,NUL
321,2013-07-05,entertainment,40.37,NUL,NUL,NUL
322,2013-07-05,pharmacy,36.17,NUL,NUL,NUL
323,2013-07-05,grocery_pos,39.04,NUL,NUL,NUL
324,2013-07-05,misc_pos,45.47,NUL,NUL,NUL
325,2013-07-06,kids_pets,204.54,NUL,NUL,NUL
326,2013-07-06,kids_pets,24.42,NUL,NUL,NUL
327,2013-07-06,health_fitness,0.71,NUL,NUL,NUL
328,2013-07-08,utilities,81.61,NUL,NUL,NUL
329,2013-07-09,misc_net,15.26,NUL,NUL,NUL
330,2013-07-11,food_dining,1.47,NUL,NUL,NUL
331,2013-07-12,shopping_pos,68.12,2.0,2013-07-19,1.0
332,2013-07-12,kids_pets,29.33,NUL,NUL,NUL
333,2013-07-12,shopping_net,85.61,NUL,NUL,NUL
334,2013-07-12,home,89.61,NUL,NUL,NUL
335,2013-07-13,health_fitness,12.36,NUL,NUL,NUL
336,2013-07-14,food_dining,3.07,NUL,NUL,NUL
337,2013-07-14,grocery_pos,68.31,NUL,NUL,NUL
338,2013-07-15,shopping_net,0.4,NUL,NUL,NUL
339,2013-07-17,misc_net,5.68,NUL,NUL,NUL
340,2013-07-19,shopping_pos,12.98,NUL,NUL,NUL
341,2013-07-19,travel,22.38,NUL,NUL,NUL
342,2013-07-20,utilities,38.97,NUL,NUL,NUL
343,2013-07-20,health_fitness,41.97,NUL,NUL,NUL
344,2013-07-20,entertainment,29.95,NUL,NUL,NUL
345,2013-07-20,personal_care,3.43,NUL,NUL,NUL
346,2013-07-20,utilities,40.0,NUL,NUL,NUL
347,2013-07-21,personal_care,0.54,NUL,NUL,NUL
348,2013-07-21,entertainment,7.54,NUL,NUL,NUL
349,2013-07-22,utilities,85.91,NUL,NUL,NUL
350,2013-07-22,shopping_net,85.37,NUL,NUL,NUL
351,2013-07-23,entertainment,90.02,NUL,NUL,NUL
352,2013-07-23,shopping_net,211.27,NUL,NUL,NUL
353,2013-07-23,shopping_pos,0.87,NUL,NUL,NUL
354,2013-07-24,food_dining,8.72,NUL,NUL,NUL
355,2013-07-25,travel,1.03,NUL,NUL,NUL
356,2013-07-25,entertainment,12.53,NUL,NUL,NUL
357,2013-07-26,personal_care,2.62,NUL,NUL,NUL
358,2013-07-26,utilities,52.43,NUL,NUL,NUL
359,2013-07-26,food_dining,5.3,NUL,NUL,NUL
360,2013-07-27,shopping_net,4.94,NUL,NUL,NUL
361,2013-07-27,shopping_pos,0.22,NUL,NUL,NUL
362,2013-07-27,home,12.12,NUL,NUL,NUL
363,2013-07-27,misc_pos,2.27,NUL,NUL,NUL
364,2013-07-27,misc_pos,48.68,NUL,NUL,NUL
365,2013-07-28,gas_transport,68.42,NUL,NUL,NUL
366,2013-07-28,health_fitness,4.04,NUL,NUL,NUL
367,2013-07-28,misc_pos,4.13,NUL,NUL,NUL
368,2013-07-29,food_dining,0.8,NUL,NUL,NUL
369,2013-07-29,shopping_net,15.56,NUL,NUL,NUL
370,2013-07-29,misc_pos,7.08,NUL,NUL,NUL
371,2013-07-30,health_fitness,111.51,NUL,NUL,NUL
372,2013-08-02,gas_transport,48.02,NUL,NUL,NUL
373,2013-08-02,gas_transport,80.19,NUL,NUL,NUL
374,2013-08-02,utilities,48.75,NUL,NUL,NUL
375,2013-08-02,food_dining,25.2,NUL,NUL,NUL
376,2013-08-03,entertainment,65.23,NUL,NUL,NUL
377,2013-08-03,pharmacy,4.78,NUL,NUL,NUL
378,2013-08-03,shopping_net,657.68,NUL,NUL,NUL
379,2013-08-03,kids_pets,38.36,NUL,NUL,NUL
380,2013-08-04,kids_pets,8.78,NUL,NUL,NUL
381,2013-08-04,gas_transport,50.67,NUL,NUL,NUL
382,2013-08-04,pharmacy,52.55,NUL,NUL,NUL
383,2013-08-04,shopping_pos,1.04,NUL,NUL,NUL
384,2013-08-04,shopping_pos,19.79,NUL,NUL,NUL
385,2013-08-08,health_fitness,33.85,NUL,NUL,NUL
386,2013-08-08,food_dining,70.31,NUL,NUL,NUL
387,2013-08-08,misc_net,25.19,NUL,NUL,NUL
388,2013-08-09,gas_transport,45.0,NUL,NUL,NUL
389,2013-08-09,entertainment,141.01,NUL,NUL,NUL
390,2013-08-09,grocery_pos,49.64,NUL,NUL,NUL
391,2013-08-10,travel,127.66,NUL,NUL,NUL
392,2013-08-10,entertainment,3.73,NUL,NUL,NUL
393,2013-08-10,grocery_pos,42.11,NUL,NUL,NUL
394,2013-08-10,pharmacy,4.01,NUL,NUL,NUL
395,2013-08-11,gas_transport,43.38,NUL,NUL,NUL
396,2013-08-12,gas_transport,49.57,NUL,NUL,NUL
397,2013-08-12,misc_net,1.53,NUL,NUL,NUL
398,2013-08-12,home,19.58,NUL,NUL,NUL
399,2013-08-12,gas_transport,67.58,NUL,NUL,NUL
400,2013-08-13,misc_net,477.69,NUL,NUL,NUL
401,2013-08-15,gas_transport,66.36,NUL,NUL,NUL
402,2013-08-15,gas_transport,65.59,NUL,NUL,NUL
403,2013-08-15,gas_transport,56.82,NUL,NUL,NUL
404,2013-08-15,pharmacy,2.86,NUL,NUL,NUL
405,2013-08-16,shopping_net,211.49,NUL,NUL,NUL
406,2013-08-16,grocery_net,56.48,NUL,NUL,NUL
407,2013-08-16,health_fitness,86.3,NUL,NUL,NUL
408,2013-08-16,personal_care,0.33,NUL,NUL,NUL
409,2013-08-17,misc_pos,2.25,NUL,NUL,NUL
410,2013-08-17,food_dining,3.95,NUL,NUL,NUL
411,2013-08-17,misc_pos,27.27,NUL,NUL,NUL
412,2013-08-17,misc_net,60.56,NUL,NUL,NUL
413,2013-08-18,utilities,26.4,NUL,NUL,NUL
414,2013-08-19,utilities,30.08,NUL,NUL,NUL
415,2013-08-19,kids_pets,4.32,NUL,NUL,NUL
416,2013-08-20,grocery_net,21.68,NUL,NUL,NUL
417,2013-08-22,health_fitness,63.85,NUL,NUL,NUL
418,2013-08-22,shopping_pos,325.11,3.0,2013-08-29,1.0
419,2013-08-23,food_dining,0.58,NUL,NUL,NUL
420,2013-08-23,shopping_net,86.21,NUL,NUL,NUL
421,2013-08-23,shopping_net,22.2,NUL,NUL,NUL
422,2013-08-24,gas_transport,71.7,NUL,NUL,NUL
423,2013-08-24,food_dining,0.23,NUL,NUL,NUL
424,2013-08-24,misc_net,121.98,NUL,NUL,NUL
425,2013-08-24,utilities,60.63,NUL,NUL,NUL
426,2013-08-24,gas_transport,53.28,NUL,NUL,NUL
427,2013-08-24,misc_pos,373.42,NUL,NUL,NUL
428,2013-08-24,entertainment,2.48,NUL,NUL,NUL
429,2013-08-24,shopping_net,117.65,NUL,NUL,NUL
430,2013-08-26,shopping_net,412.83,NUL,NUL,NUL
431,2013-08-28,health_fitness,9.89,NUL,NUL,NUL
432,2013-08-29,misc_pos,24.12,NUL,NUL,NUL
433,2013-08-29,gas_transport,57.27,NUL,NUL,NUL
434,2013-08-30,shopping_pos,799.28,NUL,NUL,NUL
435,2013-08-30,personal_care,92.88,NUL,NUL,NUL
436,2013-08-31,health_fitness,0.68,NUL,NUL,NUL
437,2013-08-31,home,0.82,NUL,NUL,NUL
438,2013-08-31,misc_net,0.26,NUL,NUL,NUL
439,2013-08-31,personal_care,8.95,NUL,NUL,NUL
440,2013-08-31,shopping_net,226.74,NUL,NUL,NUL
441,2013-09-01,utilities,41.9,NUL,NUL,NUL
442,2013-09-01,utilities,63.59,NUL,NUL,NUL
443,2013-09-01,gas_transport,43.51,NUL,NUL,NUL
444,2013-09-03,entertainment,48.91,NUL,NUL,NUL
445,2013-09-06,entertainment,25.86,NUL,NUL,NUL
446,2013-09-07,misc_net,3.86,NUL,NUL,NUL
447,2013-09-08,food_dining,15.25,NUL,NUL,NUL
448,2013-09-08,personal_care,90.96,NUL,NUL,NUL
449,2013-09-08,kids_pets,61.58,NUL,NUL,NUL
450,2013-09-09,personal_care,23.43,NUL,NUL,NUL
451,2013-09-11,pharmacy,50.94,NUL,NUL,NUL
452,2013-09-11,health_fitness,13.79,NUL,NUL,NUL
453,2013-09-13,shopping_net,16.21,NUL,NUL,NUL
454,2013-09-13,shopping_pos,26.56,NUL,NUL,NUL
